PATCH IDENTITY,,,,CONTENT CHANGES,,,,,,DATABASE IMPACT,,,,TRACKING,,
Patch Version,Release Date,Patch Type,Official Patch Notes Link,Units Added,Units Removed,Units Rebalanced,Heroes Changed,Artifacts/Spells Changed,Visual Art Changes,Visual Ref Library — Images to Re-capture,Talent Trees to Re-document,Tier Scores to Re-assess,Animation DB Updates Needed,Update Status,Updated By,Date Completed
13.04,2026-04-13,Balance,,,,Robot / Minotaur / Tesla / Treant / Genie / Blade Dancer / Cultist / Inquisitor / Demon Hunter / Monk / Wukong,,,,,"Robot: Fine Calibrations / General Program / Speed Module. Minotaur: Berserker Might / Berserker Madness / Empire's Fall / Crack / Growing Power. Tesla: Electro Chain / Professor / High Voltage / Lightning Strike / Megawatt. Treant: Arboreal Guard / Mycelium Masters / Spiny Roots / Mushroom Nausea. Genie: Magical Sultanate / Ifrit's Fire / Ethereal Boost / Reckless Wish / Magic Knockout. Blade Dancer: Floral Frenzy / Blooming Dash / Serrated Blades / Dance of the Wind. Cultist: Harbinger of Evil / Harbinger of the Abyss / Great Ritual / Monsters of the Abyss. Inquisitor: Knight of Light / Knight of Darkness / Purification / Ronin / Unity / Hammer of Faith. Demon Hunter: Absorption of Evil / Twilight Hunting / Cloak of Shadows / Stealth Attack / Shadow Twin. Monk: Equilibrium + Rebirth/Novice now +10% dmg. Wukong: Elixir of Life / Immortality Path.",Yes — all rebalanced units may need tier re-assessment,Complete,Kason,2026-04-20
