PATCH IDENTITY,,,,CONTENT CHANGES,,,,,,DATABASE IMPACT,,,,TRACKING,,
Patch Version,Release Date,Patch Type,Official Patch Notes Link,Units Added,Units Removed,Units Rebalanced,Heroes Changed,Artifacts/Spells Changed,Visual Art Changes,Visual Ref Library — Images to Re-capture,Talent Trees to Re-document,Tier Scores to Re-assess,Animation DB Updates Needed,Update Status,Updated By,Date Completed
13.05,2026-05-16,Balance,,Dark Moloch,,Necromancer / Twilight Ranger / Franky & Stein / Gunslinger / Inquisitor / Bard / Bruiser / Banshee / Genie / Cultist / Monk / Robot / Meteor / Dark Moloch,,,,,Twilight Ranger: Cursed Magic / Unity Magic / Critical Enchantment / Crown of Darkness. Inquisitor: Shield of Faith / Ronin / Hammer of Faith. Bard: Drummer / Cacophony. Bruiser: On My Treat! / No Worries!. Banshee: Spirit of Vengeance / Infirmity. Genie: Spiritual Cleansing. Cultist: Harbinger of Evil / Harbinger of the Abyss / Unity of the Cult. Robot: Successful Tuning / Fire Support / Speed Module / BRG 1000 / General Program. Meteor: Fiery Bolide / Apocalypse. Dark Moloch: all 7 talents (new unit added).,Yes - all rebalanced units may need tier re-assessment,,Complete,Kason,2026-05-21
13.04,2026-04-13,Balance,,,,Robot / Minotaur / Tesla / Treant / Genie / Blade Dancer / Cultist / Inquisitor / Demon Hunter / Monk / Wukong,,,,,Robot: Fine Calibrations / General Program / Speed Module. Minotaur: Berserker Might / Berserker Madness / Empire's Fall / Crack / Growing Power. Tesla: Electro Chain / Professor / High Voltage / Lightning Strike / Megawatt. Treant: Arboreal Guard / Mycelium Masters / Spiny Roots / Mushroom Nausea. Genie: Magical Sultanate / Ifrit's Fire / Ethereal Boost / Reckless Wish / Magic Knockout. Blade Dancer: Floral Frenzy / Blooming Dash / Serrated Blades / Dance of the Wind. Cultist: Harbinger of Evil / Harbinger of the Abyss / Great Ritual / Monsters of the Abyss. Inquisitor: Knight of Light / Knight of Darkness / Purification / Ronin / Unity / Hammer of Faith. Demon Hunter: Absorption of Evil / Twilight Hunting / Cloak of Shadows / Stealth Attack / Shadow Twin. Monk: Equilibrium + Rebirth/Novice now +10% dmg. Wukong: Elixir of Life / Immortality Path.,Yes — all rebalanced units may need tier re-assessment,Complete,Kason,2026-04-20
